"Date","Site.Name","AQS_PARAMETER_DESC","COUNTY","aqiMean","latMean","longMean","Month","Year"
1-01-20,"Bryson City","PM2.5","Swain",29.5,35.434767,-83.442133,1,2020
1-01-20,"Castle Hayne","PM2.5","New Hanover",13.5,34.364167,-77.838611,1,2020
1-01-20,"Clemmons Middle","PM2.5","Forsyth",24,36.026,-80.342,1,2020
1-01-20,"Durham Armory","PM2.5","Durham",33,36.0329550008979,-78.904037,1,2020
1-01-20,"Frying Pan Mountain","Ozone","Haywood",47,35.379167,-82.7925,1,2020
1-01-20,"Garinger High School","Ozone","Mecklenburg",28,35.2401000008895,-80.785683,1,2020
1-01-20,"Garinger High School","PM2.5","Mecklenburg",21.3333333333333,35.2401000008895,-80.785683,1,2020
1-01-20,"Hattie Avenue","PM2.5","Forsyth",22,36.110693332,-80.2264378,1,2020
1-01-20,"Leggett","PM2.5","Edgecombe",11,35.988278,-77.5843,1,2020
1-01-20,"Mendenhall School","PM2.5","Guilford",13,36.1090060008986,-79.802314,1,2020
1-01-20,"Millbrook School","Ozone","Wake",32.5,35.856111,-78.574167,1,2020
1-01-20,"Millbrook School","PM2.5","Wake",30.6666666666667,35.856111,-78.574167,1,2020
1-01-20,"Pitt Agri. Center","PM2.5","Pitt",16.5,35.6412760008938,-77.360126,1,2020
1-01-20,"West Johnston Co.","Ozone","Johnston",26,35.59095,-78.4622,1,2020
1-01-20,"West Johnston Co.","PM2.5","Johnston",23,35.59095,-78.4622,1,2020
1-02-20,"Bryson City","PM2.5","Swain",39,35.434767,-83.442133,1,2020
1-02-20,"Castle Hayne","PM2.5","New Hanover",13,34.364167,-77.838611,1,2020
1-02-20,"Clemmons Middle","PM2.5","Forsyth",35,36.026,-80.342,1,2020
1-02-20,"Durham Armory","PM2.5","Durham",37.3333333333333,36.0329550008979,-78.904037,1,2020
1-02-20,"Frying Pan Mountain","Ozone","Haywood",44,35.379167,-82.7925,1,2020
1-02-20,"Frying Pan Mountain","PM2.5","Haywood",7,35.379167,-82.7925,1,2020
1-02-20,"Garinger High School","Ozone","Mecklenburg",25,35.2401000008895,-80.785683,1,2020
1-02-20,"Garinger High School","PM2.5","Mecklenburg",33,35.2401000008895,-80.785683,1,2020
1-02-20,"Hattie Avenue","PM2.5","Forsyth",25,36.110693332,-80.2264378,1,2020
1-02-20,"Leggett","PM2.5","Edgecombe",15,35.988278,-77.5843,1,2020
1-02-20,"Linville Falls","PM2.5","Avery",12,35.972347,-81.933072,1,2020
1-02-20,"Mendenhall School","PM2.5","Guilford",11,36.1090060008986,-79.802314,1,2020
1-02-20,"Millbrook School","Ozone","Wake",28,35.856111,-78.574167,1,2020
1-02-20,"Millbrook School","PM2.5","Wake",36.5,35.856111,-78.574167,1,2020
1-02-20,"Pitt Agri. Center","PM2.5","Pitt",23,35.6412760008938,-77.360126,1,2020
1-02-20,"West Johnston Co.","Ozone","Johnston",25,35.59095,-78.4622,1,2020
1-02-20,"West Johnston Co.","PM2.5","Johnston",26.5,35.59095,-78.4622,1,2020
1-03-20,"Bryson City","PM2.5","Swain",31,35.434767,-83.442133,1,2020
1-03-20,"Castle Hayne","PM2.5","New Hanover",18,34.364167,-77.838611,1,2020
1-03-20,"Clemmons Middle","PM2.5","Forsyth",42.6666666666667,36.026,-80.342,1,2020
1-03-20,"Durham Armory","PM2.5","Durham",41.3333333333333,36.0329550008979,-78.904037,1,2020
1-03-20,"Frying Pan Mountain","Ozone","Haywood",36,35.379167,-82.7925,1,2020
1-03-20,"Garinger High School","Ozone","Mecklenburg",16.5,35.2401000008895,-80.785683,1,2020
1-03-20,"Garinger High School","PM2.5","Mecklenburg",33,35.2401000008895,-80.785683,1,2020
1-03-20,"Hattie Avenue","PM2.5","Forsyth",35.3333333333333,36.110693332,-80.2264378,1,2020
1-03-20,"Leggett","PM2.5","Edgecombe",19,35.988278,-77.5843,1,2020
1-03-20,"Linville Falls","PM2.5","Avery",7,35.972347,-81.933072,1,2020
1-03-20,"Mendenhall School","PM2.5","Guilford",40,36.1090060008986,-79.802314,1,2020
1-03-20,"Millbrook School","Ozone","Wake",22,35.856111,-78.574167,1,2020
1-03-20,"Millbrook School","PM2.5","Wake",42.75,35.856111,-78.574167,1,2020
1-03-20,"Pitt Agri. Center","PM2.5","Pitt",23.3333333333333,35.6412760008938,-77.360126,1,2020
1-03-20,"West Johnston Co.","Ozone","Johnston",18,35.59095,-78.4622,1,2020
1-03-20,"West Johnston Co.","PM2.5","Johnston",35,35.59095,-78.4622,1,2020
1-04-20,"Bryson City","PM2.5","Swain",21.5,35.434767,-83.442133,1,2020
1-04-20,"Castle Hayne","PM2.5","New Hanover",19,34.364167,-77.838611,1,2020
1-04-20,"Clemmons Middle","PM2.5","Forsyth",39,36.026,-80.342,1,2020
1-04-20,"Durham Armory","PM2.5","Durham",38.5,36.0329550008979,-78.904037,1,2020
1-04-20,"Frying Pan Mountain","Ozone","Haywood",34,35.379167,-82.7925,1,2020
1-04-20,"Garinger High School","Ozone","Mecklenburg",26,35.2401000008895,-80.785683,1,2020
1-04-20,"Garinger High School","PM2.5","Mecklenburg",18.3333333333333,35.2401000008895,-80.785683,1,2020
1-04-20,"Hattie Avenue","PM2.5","Forsyth",32,36.110693332,-80.2264378,1,2020
1-04-20,"Leggett","PM2.5","Edgecombe",19.5,35.988278,-77.5843,1,2020
1-04-20,"Mendenhall School","PM2.5","Guilford",21.5,36.1090060008986,-79.802314,1,2020
1-04-20,"Millbrook School","Ozone","Wake",28,35.856111,-78.574167,1,2020
1-04-20,"Millbrook School","PM2.5","Wake",38.6666666666667,35.856111,-78.574167,1,2020
1-04-20,"Pitt Agri. Center","PM2.5","Pitt",24.5,35.6412760008938,-77.360126,1,2020
